"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Enter your iCode student ID:";"Upload your file here.";"filecount - Upload your file here.";"Total time";"Group time: Submission Via Upload";"Question time: q00a";"Question time: q00"
"12";"2018-09-17 18:51:27";"1";"en";"1536945703";"2018-09-17 18:50:40";"2018-09-17 18:51:27";"192.168.1.12";"ds07";"[{ ""title"":""Answer To Everything"",""comment"":"""",""size"":""0.094"",""name"":""00_deepthought.py"",""filename"":""fu_5xevyiemc2njcyi"",""ext"":""py"" }]";"1";"47.33";"47.33";"";""
"13";"2018-09-18 12:47:19";"1";"en";"233234933";"2018-09-18 12:46:33";"2018-09-18 12:47:19";"192.168.1.5";"am08";"[{ ""title"":"""",""comment"":"""",""size"":""0.1"",""name"":""00_deepthought.py"",""filename"":""fu_uryskmhji864imm"",""ext"":""py"" }]";"1";"45.11";"45.11";"";""
"14";"2018-09-18 12:58:23";"1";"en";"747590200";"2018-09-18 12:53:34";"2018-09-18 12:58:23";"192.168.1.9";"DT87";"[{ ""title"":"""",""comment"":"""",""size"":""1.525"",""name"":""Exercise%200%3A%20So%20Long.txt"",""filename"":""fu_6p43xenj38g8dp8"",""ext"":""txt"" }]";"1";"289.29";"289.29";"";""
"15";"";"";"en";"588742658";"2018-09-19 12:21:50";"2018-09-19 12:21:50";"192.168.1.6";"";"";"";"0";"";"";""
"16";"";"";"en";"1001483862";"2018-09-19 12:31:49";"2018-09-19 12:31:49";"192.168.1.11";"";"";"";"0";"";"";""
"17";"";"";"en";"1346552426";"2018-09-19 13:06:27";"2018-09-19 13:06:27";"192.168.1.4";"";"";"";"0";"";"";""
"18";"2018-09-19 13:23:44";"1";"en";"1206096383";"2018-09-19 13:23:14";"2018-09-19 13:23:44";"192.168.1.11";"AM99";"[{ ""title"":"""",""comment"":"""",""size"":""0.092"",""name"":""00_deepthought.py"",""filename"":""fu_furz6fz68tnsdxr"",""ext"":""py"" }]";"1";"30.57";"30.57";"";""
"19";"2018-09-25 19:43:49";"1";"en";"1831077091";"2018-09-25 19:41:32";"2018-09-25 19:43:49";"192.168.1.7";"RN10";"[{ ""title"":"""",""comment"":"""",""size"":""0.092"",""name"":""Deepthought.py"",""filename"":""fu_7f7b8ey295hvjup"",""ext"":""py"" }]";"1";"137.74";"137.74";"";""
"20";"";"";"en";"733354877";"2018-09-26 12:14:48";"2018-09-26 12:14:48";"192.168.1.6";"";"";"";"0";"";"";""
"21";"2018-09-26 19:47:12";"1";"en";"1250143306";"2018-09-26 19:45:49";"2018-09-26 19:47:12";"10.0.0.3";"gg07";"[{ ""title"":"""",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_f7bv95yxf9q4zbj"",""ext"":""py"" }]";"1";"83.12";"83.12";"";""
"22";"";"0";"en";"1215443052";"2018-09-26 19:48:10";"2018-09-26 19:48:10";"10.0.0.3";"";"";"";"0";"";"";""
"23";"";"";"en";"1753232452";"2018-09-27 11:42:47";"2018-09-27 11:42:47";"10.0.0.6";"";"";"";"0";"";"";""
"24";"";"";"en";"1191675101";"2018-09-27 11:45:57";"2018-09-27 11:45:57";"10.0.0.6";"";"";"";"0";"";"";""
"25";"2018-09-27 11:47:26";"1";"en";"1751011297";"2018-09-27 11:46:14";"2018-09-27 11:47:26";"10.0.0.6";"kb11";"[{ ""title"":"""",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_4cfk3ywqs39xxxz"",""ext"":""py"" }]";"1";"72.72";"72.72";"";""
"26";"2018-09-27 17:56:29";"1";"en";"222398433";"2018-09-27 17:55:09";"2018-09-27 17:56:29";"10.0.0.13";"xt435";"[{ ""title"":""excercise 0"",""comment"":""Xochitl Torres"",""size"":""0.028"",""name"":""00_deepthought.py"",""filename"":""fu_wiem5xewari7xv8"",""ext"":""py"" }]";"1";"80.7";"80.7";"";""
"27";"2018-10-02 13:19:37";"1";"en";"532517191";"2018-10-02 13:17:32";"2018-10-02 13:19:37";"10.0.0.11";"germaine18";"[{ ""title"":""Day 00"",""comment"":"""",""size"":""0.091"",""name"":""00_deepthought.py"",""filename"":""fu_zkm4nv5ii8mr3x8"",""ext"":""py"" }]";"1";"125.4";"125.4";"";""
"28";"2018-10-03 12:22:16";"1";"en";"548643139";"2018-10-03 12:21:51";"2018-10-03 12:22:16";"10.0.0.6";"kb11";"[{ ""title"":"""",""comment"":"""",""size"":""0.093"",""name"":""00_deepthought.py"",""filename"":""fu_cg9rnksdcanhrzx"",""ext"":""py"" }]";"1";"25.54";"25.54";"";""
